coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,pcs_depp,mean_y,outcome,bandwidth
-0.119217865255806,-0.150241780571037,0.169089544727532,0.197635027461428,0.480774403639827,0.447136155740934,3887,3813,1,0.644413388361279,1.39052279683078,16,TRUE,FALSE,"","",-0.450633372921768,0.212197642410157,-0.537606434395436,0.237122873253363,Low SES,12.9409996360504,quality,mse
0.0832178834571735,0.0810811700231255,0.104390900506357,0.12980470012123,0.425349028565687,0.532207552047527,6836,6075,1,0.817437721774352,1.60003526249696,16,TRUE,FALSE,"","",-0.121388281535287,0.287824048449634,-0.173336042214486,0.335498382260737,Middle SES,13.2331335168715,quality,mse
0.01555587536253,-0.0189731309804415,0.118200570877132,0.142087631316711,0.895296133353714,0.893773296372755,4656,3894,1,0.927222878328915,1.89847510050292,16,TRUE,FALSE,"","",-0.216117243556649,0.247228994281709,-0.297464888361195,0.259518626400312,High SES,13.3726232804333,quality,mse
-0.401738578095809,-0.513049858275878,0.352592470132241,0.410673660607433,0.254542601827195,0.211559593204856,661,545,1,0.774972259085148,1.67578815063535,16,TRUE,FALSE,"","",-1.092819819555,0.289342663363383,-1.31797023306645,0.291870516514692,Missing,12.9699585352623,quality,mse
-0.0640582116250457,-0.419090253298819,0.0903332671031304,0.273963503002301,0.478242558022798,0.12608351692632,7775,7312,1,1,1,16,TRUE,FALSE,"","",-0.241111415147181,0.11299499189709,-0.956058719183329,0.117878212585691,Very High SES,13.6701826656853,quality,"(15, 17)"
0.000776722964797472,-0.258500950481192,0.0835905247284625,0.24825268306007,0.992586165170694,0.29774487478443,8964,5259,1,1,1,16,TRUE,FALSE,"","",-0.163060705502989,0.164614151432584,-0.74507620927893,0.228074308316545,Low SES,12.9409996360504,quality,"(15, 17)"
0.037558132753297,0.192354829002035,0.0801219531957529,0.236360988087837,0.639239713500369,0.415749215955414,9872,6931,1,1,1,16,TRUE,FALSE,"","",-0.119480895510379,0.194597161016973,-0.270912707650125,0.655622365654195,Middle SES,13.2331335168715,quality,"(15, 17)"
-0.00446786532933885,0.0107952338023196,0.10751738262784,0.32486010394766,0.966853591654767,0.973490849417085,5299,4056,1,1,1,16,TRUE,FALSE,"","",-0.215201935279905,0.206266204621228,-0.625930569935094,0.647521037539733,High SES,13.3726232804333,quality,"(15, 17)"
-0.288608736250879,-0.673178427586905,0.246925298232692,0.734409775209584,0.242480225706699,0.359339131262185,1094,655,1,1,1,16,TRUE,FALSE,"","",-0.772582320786956,0.195364848285198,-2.11262158699769,0.766264731823879,Missing,12.9699585352623,quality,"(15, 17)"
0.0140207131777217,-0.01017763095345,0.100384428574898,0.122773602792767,0.888920572828306,0.933933001653932,6637,6855,1,0.928174221479073,1.85929609826243,16,TRUE,FALSE,"","",-0.182732766829079,0.210774193184522,-0.250813892427274,0.230458630520374,Very High SES,13.6896735534796,quality_bacyear_plus1,mse
-0.0306576108180039,-0.0789994418458377,0.176600642528171,0.199926227508646,0.862180992362948,0.692737383726588,3433,3591,1,0.62933399899218,1.43758760585355,16,TRUE,FALSE,"","",-0.376794870173218,0.31547964853721,-0.470854847762784,0.312855964071109,Low SES,13.0185415612062,quality_bacyear_plus1,mse
0.0515735375537219,0.0233309469116421,0.0995510800555652,0.119357218896417,0.604415671433024,0.845023766363738,7057,6109,1,0.846859592918235,1.75070391710465,16,TRUE,FALSE,"","",-0.143546579355186,0.24669365446263,-0.210609202125336,0.25727109594862,Middle SES,13.2823589603156,quality_bacyear_plus1,mse
