freq,id,year_bac_plus,echelon
43,350,3,0
73,351,1,1
73,351,2,5
73,351,3,0bis
247,352,1,1
247,352,2,5
247,352,3,1
157,353,1,1
157,353,2,5
157,353,3,2
206,354,1,1
206,354,2,5
206,354,3,3
245,355,1,1
245,355,2,5
245,355,3,4
732,356,1,1
732,356,2,5
732,356,3,5
220,357,1,1
220,357,2,5
220,357,3,6
17,358,1,1
17,358,2,5
17,358,3,7
84,359,1,1
84,359,2,5
84,359,3,"enrolled + FA app.
but not eligible"
26,360,1,1
26,360,2,5
26,360,3,"not enrolled + FA app.
but not eligible"
761,361,1,1
761,361,2,5
761,361,3,
45,362,1,1
45,362,2,6
45,362,3,0
34,363,1,1
34,363,2,6
34,363,3,0bis
78,364,1,1
78,364,2,6
78,364,3,1
43,365,1,1
43,365,2,6
43,365,3,2
44,366,1,1
44,366,2,6
44,366,3,3
51,367,1,1
51,367,2,6
51,367,3,4
180,368,1,1
180,368,2,6
180,368,3,5
403,369,1,1
403,369,2,6
403,369,3,6
50,370,1,1
50,370,2,6
50,370,3,7
45,371,1,1
45,371,2,6
45,371,3,"enrolled + FA app.
but not eligible"
17,372,1,1
17,372,2,6
17,372,3,"not enrolled + FA app.
but not eligible"
361,373,1,1
361,373,2,6
361,373,3,
3,374,1,1
3,374,2,7
3,374,3,0bis
11,375,1,1
11,375,2,7
11,375,3,1
4,376,1,1
4,376,2,7
4,376,3,2
6,377,1,1
6,377,2,7
6,377,3,3
7,378,1,1
7,378,2,7
7,378,3,4
12,379,1,1
12,379,2,7
12,379,3,5
22,380,1,1
22,380,2,7
22,380,3,6
47,381,1,1
47,381,2,7
47,381,3,7
6,382,1,1
6,382,2,7
6,382,3,"enrolled + FA app.
but not eligible"
3,383,1,1
3,383,2,7
3,383,3,"not enrolled + FA app.
but not eligible"
63,384,1,1
63,384,2,7
63,384,3,
113,385,1,1
113,385,2,"enrolled + FA app.
but not eligible"
113,385,3,0
153,386,1,1
153,386,2,"enrolled + FA app.
but not eligible"
153,386,3,0bis
100,387,1,1
100,387,2,"enrolled + FA app.
but not eligible"
100,387,3,1
17,388,1,1
17,388,2,"enrolled + FA app.
but not eligible"
17,388,3,2
13,389,1,1
13,389,2,"enrolled + FA app.
but not eligible"
13,389,3,3
10,390,1,1
10,390,2,"enrolled + FA app.
but not eligible"
10,390,3,4
17,391,1,1
17,391,2,"enrolled + FA app.
but not eligible"
17,391,3,5
10,392,1,1
