coef,coef_bias,se,robust_se,p_value,robust_p_value,n_cont,n_treat,poly,h_bandwidth,b_bandwidth,threshold,donut,controls,sig,robust_sig,ci_lower,ci_upper,robust_ci_lower,robust_ci_upper,income_quint,mean_y,outcome,bandwidth
-0.0137619562852314,-0.0171542187235392,0.0209094255645523,0.0256141545397305,0.510428910095093,0.503038611097126,10298,5115,1,1.28126797569619,2.4483268445344,16,TRUE,FALSE,"","",-0.0547444303917538,0.0272205178212911,-0.067357961621411,0.0330495241743326,3,0.728553137003841,enrol_2_ontime_all_0914,mse
0.00191235369526432,-0.00449270751842779,0.0204872296141621,0.0242472098390814,0.925630520669398,0.853003456912046,10279,6339,1,1.15116892506347,2.40019440046392,16,TRUE,FALSE,"","",-0.0382426163484933,0.042067323739022,-0.0520172388030272,0.0430318237661717,4,0.725855130784708,enrol_2_ontime_all_0914,mse
-0.010673154016029,-0.0155404410518614,0.019520445184306,0.0236676915175558,0.584538156869478,0.511431768223379,11332,9566,1,1.0186955827698,2.02450118318389,16,TRUE,FALSE,"","",-0.0489332265772687,0.0275869185452107,-0.0619291164262707,0.030848234322548,5,0.736561053755785,enrol_2_ontime_all_0914,mse
0.0510779691739027,0.0817381088696119,0.0341850783721855,0.105337066303033,0.135133862236331,0.437768350039439,4545,2748,1,1,1,16,TRUE,FALSE,"","",-0.0159247844355809,0.118080722783386,-0.124722541084333,0.288198758823557,1,0.677820267686425,enrol_2_ontime_all_0914,"(15, 17)"
-0.070135642567164,-0.0458709218217936,0.0310325429109746,0.0950452300071546,0.023817060062649,0.62936413422251,5422,3360,1,1,1,16,TRUE,FALSE,**,"",-0.130959426672674,-0.00931185846165382,-0.232159572635817,0.140417728992229,2,0.731284475965327,enrol_2_ontime_all_0914,"(15, 17)"
-0.00362128146509155,0.18739988708658,0.027789354334958,0.0857846756641973,0.896319725242335,0.028922735336031,6505,4276,1,1,1,16,TRUE,FALSE,"",**,-0.0580884159616092,0.0508458530314261,0.0192619227847533,0.355537851388407,3,0.728553137003841,enrol_2_ontime_all_0914,"(15, 17)"
0.0103215301756474,0.0814638916539041,0.0241508924047667,0.0732061990098057,0.669104930900717,0.265794139446564,7918,5612,1,1,1,16,TRUE,FALSE,"","",-0.0370142189376954,0.0576572792889902,-0.062020258405315,0.224948041713123,4,0.725855130784708,enrol_2_ontime_all_0914,"(15, 17)"
-0.00972285668365647,0.00903467495663057,0.0200099600483339,0.0614524692261903,0.627037462608769,0.883117095587098,10836,9358,1,1,1,16,TRUE,FALSE,"","",-0.0489423783783909,0.0294966650110779,-0.111412164726702,0.129481514639964,5,0.736561053755785,enrol_2_ontime_all_0914,"(15, 17)"
0.0436533093646827,0.0508870143699314,0.0273461504240608,0.0326060976582265,0.110416530450816,0.118604124167656,4051,2653,1,0.931380028315273,1.91779947522381,16,TRUE,FALSE,"","",-0.00994514546647636,0.0972517641958418,-0.0130209370401926,0.114794965780055,1,0.869024856596558,enrol_2_anytime_all_0914,mse
-0.0632526088007146,-0.0747724346587342,0.0353424194278927,0.0397492423488472,0.0735008747012388,0.0599578555237358,2959,2660,1,0.725826609603401,1.69845477645821,16,TRUE,FALSE,*,*,-0.132523750879384,0.00601853327795508,-0.152680949662475,0.00313608034500627,2,0.901497241922774,enrol_2_anytime_all_0914,mse
-0.0148025302239327,-0.0237797224834813,0.0233132437584381,0.0261543369943506,0.525467009705878,0.363240542855986,4734,3768,1,0.837945835657069,1.979137047855,16,TRUE,FALSE,"","",-0.0604964879904714,0.0308914275426059,-0.0750422229924084,0.0274827780254459,3,0.905889884763124,enrol_2_anytime_all_0914,mse
